State,Year,Solar_Installation,Solar_Capacity
NSW,2014,31253,37158
NSW,2015,31760,33445
NSW,2016,28495,29474
NSW,2017,37520,43211
NSW,2018,52312,59291
NSW,2019,73658,77581
NSW,2020,106328,110752
NSW,2021,119459,110151
NSW,2022,101217,93019
NT,2014,1154,1026
NT,2015,1426,1196
NT,2016,1931,1745
NT,2017,2091,1950
NT,2018,2623,2370
NT,2019,3963,3506
NT,2020,3488,3242
NT,2021,2186,1942
NT,2022,2044,1760
QLD,2014,16859,57749
QLD,2015,13122,39510
QLD,2016,11953,34428
QLD,2017,17071,46453
QLD,2018,20781,55100
QLD,2019,28210,70711
QLD,2020,36817,88412
QLD,2021,40872,90201
QLD,2022,34489,77382
SA,2014,3856,15166
SA,2015,3479,12081
SA,2016,3866,12604
SA,2017,5450,16189
SA,2018,7559,21888
SA,2019,9797,27088
SA,2020,13380,36347
SA,2021,13297,32597
SA,2022,11441,29150
TAS,2014,2392,4207
TAS,2015,1144,2020
TAS,2016,1571,2487
TAS,2017,1577,2393
TAS,2018,1751,2642
TAS,2019,1959,2894
TAS,2020,2279,3363
TAS,2021,2869,4115
TAS,2022,2773,4114
VIC,2014,12765,40105
VIC,2015,11125,31382
VIC,2016,9262,26757
VIC,2017,12066,31386
VIC,2018,18656,47244
VIC,2019,26733,61784
VIC,2020,33612,74341
VIC,2021,40529,83180
VIC,2022,29499,62525
WA,2014,9961,23460
WA,2015,9824,20777
WA,2016,11543,24176
WA,2017,15230,31393
WA,2018,17272,33105
WA,2019,20108,36651
WA,2020,25854,48245
WA,2021,27656,48744
WA,2022,21997,38682
