LGA,Year,Solar_Installation
Adelaide,2014,38
Adelaide,2015,55
Adelaide,2016,47
Adelaide,2017,56
Adelaide,2018,58
Adelaide,2019,55
Adelaide,2020,34
Adelaide,2021,45
Adelaide,2022,38
Adelaide Hills,2014,216
Adelaide Hills,2015,215
Adelaide Hills,2016,188
Adelaide Hills,2017,163
Adelaide Hills,2018,138
Adelaide Hills,2019,123
Adelaide Hills,2020,138
Adelaide Hills,2021,117
Adelaide Hills,2022,121
Alexandrina,2014,116
Alexandrina,2015,125
Alexandrina,2016,120
Alexandrina,2017,107
Alexandrina,2018,83
Alexandrina,2019,105
Alexandrina,2020,121
Alexandrina,2021,61
Alexandrina,2022,59
Barossa,2014,52
Barossa,2015,40
Barossa,2016,43
Barossa,2017,43
Barossa,2018,30
Barossa,2019,28
Barossa,2020,23
Barossa,2021,26
Barossa,2022,13
Barunga West,2014,17
Barunga West,2015,17
Barunga West,2016,6
Barunga West,2017,5
Barunga West,2018,6
Barunga West,2019,8
Barunga West,2020,3
Barunga West,2021,5
Barunga West,2022,2
Berri and Barmera,2014,21
Berri and Barmera,2015,42
Berri and Barmera,2016,38
Berri and Barmera,2017,9
Berri and Barmera,2018,8
Berri and Barmera,2019,8
Berri and Barmera,2020,8
Berri and Barmera,2021,3
Berri and Barmera,2022,2
Burnside,2014,7
Burnside,2015,3
Burnside,2016,3
Burnside,2017,6
Burnside,2018,4
Burnside,2019,1
Burnside,2020,1
Burnside,2021,2
Burnside,2022,3
Campbelltown,2014,22
Campbelltown,2015,17
Campbelltown,2016,17
Campbelltown,2017,15
Campbelltown,2018,22
Campbelltown,2019,15
Campbelltown,2020,7
Campbelltown,2021,12
Campbelltown,2022,10
Charles Sturt,2014,80
Charles Sturt,2015,73
Charles Sturt,2016,74
Charles Sturt,2017,48
Charles Sturt,2018,65
Charles Sturt,2019,46
Charles Sturt,2020,40
Charles Sturt,2021,47
Charles Sturt,2022,67
Clare and Gilbert Valleys,2014,25
Clare and Gilbert Valleys,2015,32
Clare and Gilbert Valleys,2016,11
Clare and Gilbert Valleys,2017,18
Clare and Gilbert Valleys,2018,25
Clare and Gilbert Valleys,2019,16
Clare and Gilbert Valleys,2020,10
Clare and Gilbert Valleys,2021,5
Clare and Gilbert Valleys,2022,10
Copper Coast,2014,5
Copper Coast,2015,9
Copper Coast,2016,4
Copper Coast,2017,2
Copper Coast,2018,4
Copper Coast,2019,3
Copper Coast,2020,4
Copper Coast,2021,3
Copper Coast,2022,4
Flinders Ranges,2014,3
Flinders Ranges,2015,1
Flinders Ranges,2016,3
Flinders Ranges,2017,1
Flinders Ranges,2018,0
Flinders Ranges,2019,2
Flinders Ranges,2020,2
Flinders Ranges,2021,0
Flinders Ranges,2022,0
Gawler,2014,25
Gawler,2015,15
Gawler,2016,20
Gawler,2017,20
Gawler,2018,13
Gawler,2019,5
Gawler,2020,5
Gawler,2021,6
