Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Afghanistan,177,179,205,233,310,353,357,340,304,283,253,182
Albania,124,125,165,191,263,298,354,327,264,218,127,88
Algeria,223,220,262,293,324,312,353,325,263,270,225,204
Angola,219,208,213,199,233,223,175,150,145,164,199,212
Argentina,238,207,185,171,151,123,139,170,175,209,223,229
Armenia,93,108,162,177,242,297,343,332,278,212,138,92
Australia,273,239,249,235,219,202,223,247,253,278,277,280
Austria,66,106,128,183,239,228,260,251,168,139,66,51
Azerbaijan,90,89,124,195,257,294,313,282,222,146,93,102
Bangladesh,279,226,217,180,155,90,62,62,90,186,240,279
Belarus,34,72,133,185,270,267,271,251,154,103,39,28
Belgium,59,77,114,159,191,188,201,190,143,113,66,45
Benin,251,237,245,235,242,195,164,149,169,234,259,250
Bolivia,183,153,149,165,223,240,236,217,189,180,171,186
Bosnia and Herzegovina,57,84,126,152,192,207,256,238,187,149,81,41
Botswana,274,250,278,275,303,289,307,322,309,288,277,255
Brazil,181,168,172,171,182,186,204,214,191,197,189,183
Bulgaria,88,114,160,182,230,258,302,288,220,164,106,66
Burkina Faso,289,265,272,262,281,268,249,238,239,277,288,282
Burundi,167,158,177,165,211,255,273,251,213,189,150,164
Cameroon,231,216,204,192,195,152,116,111,130,171,216,233
Canada,82,116,168,211,236,252,282,247,168,123,75,68
Central African Republic,253,236,228,214,221,198,157,155,180,211,235,257
Chad,307,284,291,287,299,279,234,214,245,296,306,312
Chile,327,281,269,216,179,157,171,189,207,249,286,312
China,136,121,139,159,187,182,220,214,187,183,157,150
Colombia,199,169,167,141,139,154,181,173,146,137,146,179
Congo,159,157,172,166,163,140,122,120,102,120,136,141
Croatia,96,125,163,193,254,275,314,288,217,162,101,88
Cyprus,183,200,239,267,332,369,388,366,312,276,213,171
Czech Republic,50,72,125,168,214,218,226,212,161,121,54,47
Democratic Republic of the Congo,127,130,165,192,223,208,220,237,207,219,172,128
Denmark,51,77,151,229,281,275,257,231,176,104,58,44
Djibouti,254,249,279,279,310,237,236,276,282,310,291,276
Ecuador,150,121,131,143,166,156,188,195,170,157,159,176
Egypt,257,260,292,311,343,365,377,359,324,303,271,247
El Salvador,301,277,294,243,220,174,239,257,180,211,267,294
Equatorial Guinea,175,172,141,149,153,108,95,101,81,91,120,163
Eritrea,305,289,301,301,299,272,218,220,260,301,293,299
Estonia,34,64,149,222,311,304,321,264,169,94,34,22
Ethiopia,282,262,264,245,260,193,139,150,193,279,280,285
Falkland Islands,198,161,169,115,77,57,69,90,128,189,200,198
Faroe Islands,14,36,71,106,124,125,111,98,80,49,20,6
Fiji,192,178,171,153,146,141,136,143,135,164,168,195
Finland,38,70,138,194,284,297,291,238,150,93,36,29
France,111,126,183,208,245,273,303,254,217,161,113,98
French Guiana,94,90,119,118,119,149,197,230,255,251,217,138
Gabon,163,169,166,164,154,143,141,113,111,115,125,158
Gambia,279,282,310,300,310,270,186,186,180,248,240,279
Georgia,99,102,142,171,213,249,256,248,206,164,103,93
Germany,49,77,121,169,216,221,225,215,156,108,51,39
Ghana,223,216,224,214,223,169,143,124,149,213,239,230
Greece,130,134,183,231,291,336,363,341,276,208,153,127
