State,longitude,latitude,sunshine_category
NSW,141.125,-28.125,8
NSW,141.375,-28.125,8
NSW,141.625,-28.125,8
NSW,141.875,-28.125,8
NSW,142.125,-28.125,8
NSW,142.375,-28.125,8
NSW,142.625,-28.125,8
NSW,142.875,-28.125,8
NSW,143.125,-28.125,8
NSW,143.375,-28.125,8
NSW,143.625,-28.125,8
NSW,143.875,-28.125,8
NSW,144.125,-28.125,8
NSW,144.375,-28.125,8
NSW,144.625,-28.125,8
NSW,144.875,-28.125,8
NSW,145.125,-28.125,8
NSW,145.375,-28.125,8
NSW,145.625,-28.125,8
NSW,145.875,-28.125,8
NSW,146.125,-28.125,8
NSW,146.375,-28.125,8
NSW,146.625,-28.125,8
NSW,146.875,-28.125,8
NSW,147.125,-28.125,8
NSW,147.375,-28.125,8
NSW,147.625,-28.125,8
NSW,147.875,-28.125,8
NSW,148.125,-28.125,8
NSW,148.375,-28.125,8
NSW,148.625,-28.125,8
NSW,148.875,-28.125,8
NSW,149.125,-28.125,8
NSW,149.375,-28.125,8
NSW,149.625,-28.125,8
NSW,149.875,-28.125,8
NSW,150.125,-28.125,8
NSW,150.375,-28.125,8
NSW,150.625,-28.125,8
NSW,150.875,-28.125,7
NSW,151.125,-28.125,7
NSW,151.375,-28.125,7
NSW,151.625,-28.125,7
NSW,151.875,-28.125,7
NSW,152.125,-28.125,7
NSW,152.375,-28.125,7
NSW,152.625,-28.125,7
NSW,152.875,-28.125,7
NSW,153.125,-28.125,7
NSW,153.375,-28.125,7
NSW,153.625,-28.125,7
NSW,153.875,-28.125,7
NSW,141.125,-28.375,8
NSW,141.375,-28.375,8
NSW,141.625,-28.375,8
NSW,141.875,-28.375,8
NSW,142.125,-28.375,8
NSW,142.375,-28.375,8
NSW,142.625,-28.375,8
NSW,142.875,-28.375,8
NSW,143.125,-28.375,8
NSW,143.375,-28.375,8
NSW,143.625,-28.375,8
NSW,143.875,-28.375,8
NSW,144.125,-28.375,8
NSW,144.375,-28.375,8
NSW,144.625,-28.375,8
NSW,144.875,-28.375,8
NSW,145.125,-28.375,8
NSW,145.375,-28.375,8
NSW,145.625,-28.375,8
NSW,145.875,-28.375,8
NSW,146.125,-28.375,8
NSW,146.375,-28.375,8
NSW,146.625,-28.375,8
NSW,146.875,-28.375,8
NSW,147.125,-28.375,8
NSW,147.375,-28.375,8
NSW,147.625,-28.375,8
NSW,147.875,-28.375,8
NSW,148.125,-28.375,8
